token	corpus size	all contexts size	frequency	co-frequency	specificity
programming	262193	18769	433	296	228.29
logic	262193	18769	1181	428	181.68
programs	262193	18769	98	56	37.54
first-order	262193	18769	65	46	37.22
formal	262193	18769	149	65	34.04
edit	262193	18769	210	75	32.09
programmable	262193	18769	46	36	31.95
classical	262193	18769	48	36	30.78
program	262193	18769	148	58	27.49
informal	262193	18769	50	33	25.36
device	262193	18769	55	33	23.40
array	262193	18769	43	29	22.78
Formal	262193	18769	85	39	21.76
inductive	262193	18769	61	33	21.42
Aristotelian	262193	18769	23	19	17.94
Audi	262193	18769	15	15	17.18
computer	262193	18769	110	37	15.32
mathematical	262193	18769	83	32	15.31
Concurrent	262193	18769	20	16	14.77
Boolean	262193	18769	40	22	14.72
mathematics	262193	18769	53	25	14.58
modal	262193	18769	29	18	13.43
logical	262193	18769	367	70	13.38
Programmable	262193	18769	20	15	13.15
reasoning	262193	18769	283	59	13.12
Informal	262193	18769	47	22	12.83
notes	262193	18769	13	12	12.66
First-order	262193	18769	11	11	12.60
circuit	262193	18769	56	23	11.91
language	262193	18769	262	54	11.89
a	262193	18769	3691	377	11.86
Craig	262193	18769	14	12	11.85
concurrent	262193	18769	17	13	11.64
Honderich	262193	18769	10	10	11.45
probabilistic	262193	18769	19	13	10.65
paradigm	262193	18769	24	14	10.06
article	262193	18769	92	27	9.88
Propositional	262193	18769	21	13	9.84
bomb	262193	18769	21	13	9.84
constraint	262193	18769	29	15	9.74
Jacquette	262193	18769	12	10	9.70
system	262193	18769	201	42	9.65
declarative	262193	18769	31	15	9.22
datalog	262193	18769	13	10	9.09
Horn	262193	18769	32	15	8.98
Main	262193	18769	89	25	8.77
Classical	262193	18769	33	15	8.74
Constraint	262193	18769	14	10	8.58
arguments	262193	18769	121	29	8.32
propositional	262193	18769	40	16	8.30
of	262193	18769	8744	759	8.26
AI	262193	18769	64	20	8.03
Logic	262193	18769	610	83	8.02
basic	262193	18769	90	24	7.97
gates	262193	18769	42	16	7.94
logics	262193	18769	53	18	7.93
Datalog	262193	18769	16	10	7.74
philosophical	262193	18769	38	15	7.73
Higher-order	262193	18769	13	9	7.58
microcontroller	262193	18769	10	8	7.57
Separation	262193	18769	10	8	7.57
Prolog	262193	18769	68	20	7.54
used	262193	18769	377	57	7.30
Hintikka	262193	18769	46	16	7.30
was	262193	18769	296	48	7.20
well-founded	262193	18769	8	7	7.15
rules	262193	18769	211	38	7.04
1996	262193	18769	60	18	7.00
systems	262193	18769	196	36	6.93
Nienhuys-Cheng	262193	18769	6	6	6.87
Shan-hwei	262193	18769	6	6	6.87
Sarma	262193	18769	6	6	6.87
CPLDs	262193	18769	15	9	6.80
paradigms	262193	18769	19	10	6.78
calculus	262193	18769	82	21	6.76
1999	262193	18769	105	24	6.62
Indian	262193	18769	12	8	6.60
covers	262193	18769	20	10	6.51
analyzer	262193	18769	20	10	6.51
theory	262193	18769	361	53	6.47
functional	262193	18769	35	13	6.43
examples	262193	18769	72	19	6.40
pp	262193	18769	297	46	6.37
PAL	262193	18769	21	10	6.26
analyzers	262193	18769	13	8	6.21
machine	262193	18769	26	11	6.19
negative	262193	18769	26	11	6.19
See	262193	18769	75	19	6.11
languages	262193	18769	120	25	6.08
CPLD	262193	18769	7	6	6.06
Field-programmable	262193	18769	7	6	6.06
Inductive	262193	18769	62	17	6.05
Gottlob	262193	18769	10	7	6.03
symbolic	262193	18769	10	7	6.03
term	262193	18769	69	18	6.02
using	262193	18769	241	39	6.01
PLA	262193	18769	14	8	5.88
into	262193	18769	236	38	5.83
relational	262193	18769	45	14	5.81
interfacing	262193	18769	5	5	5.73
truths	262193	18769	5	5	5.73
bombs	262193	18769	5	5	5.73
also	262193	18769	407	55	5.58
early	262193	18769	35	12	5.56
fields	262193	18769	41	13	5.55
digital	262193	18769	36	12	5.42
artificial	262193	18769	36	12	5.42
concepts	262193	18769	62	16	5.37
representation	262193	18769	69	17	5.37
higher-order	262193	18769	37	12	5.28
Array	262193	18769	12	7	5.28
It	262193	18769	278	41	5.27
In	262193	18769	587	71	5.24
based	262193	18769	196	32	5.17
PLD	262193	18769	17	8	5.07
Functional	262193	18769	17	8	5.07
Category	262193	18769	17	8	5.07
noun	262193	18769	9	6	5.04
Wolf	262193	18769	9	6	5.04
Ronald	262193	18769	9	6	5.04
in	262193	18769	3655	325	5.03
varieties	262193	18769	6	5	4.98
use	262193	18769	259	38	4.90
algebra	262193	18769	23	9	4.85
linear	262193	18769	18	8	4.84
Philosophy	262193	18769	373	49	4.77
survey	262193	18769	14	7	4.71
sense	262193	18769	85	18	4.69
problem	262193	18769	135	24	4.68
uses	262193	18769	49	13	4.63
gate	262193	18769	86	18	4.62
Mathematical	262193	18769	71	16	4.59
Synchronous	262193	18769	4	4	4.58
situational	262193	18769	4	4	4.58
indian	262193	18769	4	4	4.58
VVS	262193	18769	4	4	4.58
study	262193	18769	79	17	4.57
predicates	262193	18769	57	14	4.53
powerful	262193	18769	25	9	4.51
Proposition	262193	18769	7	5	4.47
non-monotonic	262193	18769	7	5	4.47
FGCS	262193	18769	7	5	4.47
argumentation	262193	18769	11	6	4.37
today	262193	18769	39	11	4.28
represent	262193	18769	68	15	4.24
Read	262193	18769	69	15	4.17
Computational	262193	18769	22	8	4.11
dynamic	262193	18769	12	6	4.10
invented	262193	18769	8	5	4.07
GAL	262193	18769	8	5	4.07
Probabilistic	262193	18769	17	7	4.05
corresponding	262193	18769	49	12	3.97
natural	262193	18769	105	19	3.97
Answer	262193	18769	23	8	3.96
2006	262193	18769	114	20	3.95
frameworks	262193	18769	5	4	3.91
encompasses	262193	18769	5	4	3.91
Diagram	262193	18769	5	4	3.91
modular	262193	18769	5	4	3.91
Berners-Lee	262193	18769	13	6	3.86
field	262193	18769	82	16	3.83
propositions	262193	18769	59	13	3.76
Turing	262193	18769	9	5	3.75
IC	262193	18769	9	5	3.75
programmer	262193	18769	9	5	3.75
both	262193	18769	156	24	3.71
temporal	262193	18769	19	7	3.70
integrated	262193	18769	19	7	3.70
devices	262193	18769	38	10	3.68
stable	262193	18769	25	8	3.68
Johnson	262193	18769	25	8	3.68
inference	262193	18769	129	21	3.67
ILP	262193	18769	14	6	3.65
as	262193	18769	1570	146	3.64
2019	262193	18769	131	21	3.58
model	262193	18769	189	27	3.57
2005	262193	18769	113	19	3.56
statements	262193	18769	62	13	3.55
Another	262193	18769	26	8	3.55
electronic	262193	18769	20	7	3.55
applications	262193	18769	143	22	3.47
syllogisms	262193	18769	6	4	3.47
Russell's	262193	18769	6	4	3.47
Non-monotonic	262193	18769	6	4	3.47
Semiconductor	262193	18769	6	4	3.47
Lattice	262193	18769	6	4	3.47
EPLD	262193	18769	6	4	3.47
Algebraic	262193	18769	6	4	3.47
sustainable	262193	18769	6	4	3.47
deduction	262193	18769	15	6	3.46
canon	262193	18769	3	3	3.44
Weddle	262193	18769	3	3	3.44
eductive-inductive	262193	18769	3	3	3.44
Non-classical	262193	18769	3	3	3.44
grounding	262193	18769	3	3	3.44
manufacturers	262193	18769	3	3	3.44
Macrocell	262193	18769	3	3	3.44
Asynchronous	262193	18769	3	3	3.44
Parallel	262193	18769	3	3	3.44
Tautology	262193	18769	3	3	3.44
planting	262193	18769	3	3	3.44
falsificationism	262193	18769	3	3	3.44
invented(Tim	262193	18769	3	3	3.44
Running	262193	18769	3	3	3.44
history	262193	18769	72	14	3.43
principles	262193	18769	56	12	3.42
symbols	262193	18769	41	10	3.40
set	262193	18769	204	28	3.40
facts	262193	18769	81	15	3.40
solution	262193	18769	57	12	3.34
domains	262193	18769	28	8	3.31
Toggle	262193	18769	35	9	3.30
epistemic	262193	18769	16	6	3.29
extend	262193	18769	16	6	3.29
connectives	262193	18769	22	7	3.27
Haack	262193	18769	22	7	3.27
are	262193	18769	1634	148	3.26
arrays	262193	18769	11	5	3.25
known	262193	18769	51	11	3.21
database	262193	18769	36	9	3.20
12	262193	18769	112	18	3.19
has	262193	18769	477	52	3.14
clause	262193	18769	52	11	3.14
suggested	262193	18769	7	4	3.13
governed	262193	18769	7	4	3.13
FPGA	262193	18769	7	4	3.13
Transaction	262193	18769	7	4	3.13
compilation	262193	18769	7	4	3.13
predicate	262193	18769	95	16	3.13
inferences	262193	18769	53	11	3.07
equivalence	262193	18769	12	5	3.05
expressive	262193	18769	24	7	3.03
Abductive	262193	18769	24	7	3.03
Introduction	262193	18769	116	18	3.03
extended	262193	18769	31	8	3.01
long	262193	18769	31	8	3.01
form	262193	18769	156	22	2.99
procedural	262193	18769	18	6	2.99
with	262193	18769	1080	101	2.94
view	262193	18769	109	17	2.92
advantage	262193	18769	25	7	2.92
V	262193	18769	32	8	2.91
Semantics	262193	18769	32	8	2.91
disjunction	262193	18769	64	12	2.90
distinction	262193	18769	13	5	2.87
foundations	262193	18769	13	5	2.87
Aristotle	262193	18769	13	5	2.87
Philosophical	262193	18769	40	9	2.87
intuitionistic	262193	18769	4	3	2.87
Michaelson	262193	18769	4	3	2.87
