token	corpus size	all contexts size	frequency	co-frequency	specificity
programming	33078	17483	305	288	58.25
programs	33078	17483	57	55	12.70
program	33078	17483	64	59	11.11
first-order	33078	17483	48	46	10.35
device	33078	17483	36	34	7.27
classical	33078	17483	39	36	6.99
formal	33078	17483	81	65	6.71
programmable	33078	17483	40	36	6.32
informal	33078	17483	36	33	6.27
Formal	33078	17483	36	32	5.40
article	33078	17483	24	23	5.32
inductive	33078	17483	39	34	5.29
computer	33078	17483	42	36	5.21
Main	33078	17483	23	22	5.06
Aristotelian	33078	17483	18	18	4.99
array	33078	17483	33	29	4.73
Audi	33078	17483	15	15	4.16
constraint	33078	17483	15	15	4.16
Programmable	33078	17483	14	14	3.88
Concurrent	33078	17483	14	14	3.88
Logic	33078	17483	101	71	3.84
Boolean	33078	17483	18	17	3.78
concurrent	33078	17483	13	13	3.60
Inductive	33078	17483	17	16	3.53
mathematics	33078	17483	24	21	3.49
of	33078	17483	1302	738	3.38
Craig	33078	17483	12	12	3.32
Lecture	33078	17483	12	12	3.32
notes	33078	17483	12	12	3.32
Philosophy	33078	17483	57	42	3.19
Informal	33078	17483	19	17	3.13
propositional	33078	17483	19	17	3.13
Introduction	33078	17483	19	17	3.13
term	33078	17483	22	19	3.05
1999	33078	17483	28	23	3.01
pp	33078	17483	66	47	2.99
mathematical	33078	17483	42	32	2.96
in	33078	17483	546	318	2.87
language	33078	17483	67	47	2.79
probabilistic	33078	17483	14	13	2.78
bomb	33078	17483	14	13	2.78
covers	33078	17483	10	10	2.77
Classical	33078	17483	10	10	2.77
Constraint	33078	17483	10	10	2.77
gate	33078	17483	17	15	2.67
BUTTON	33078	17483	29	23	2.65
Hintikka	33078	17483	20	17	2.63
declarative	33078	17483	20	17	2.63
2006	33078	17483	23	19	2.62
AI	33078	17483	23	19	2.62
arguments	33078	17483	37	28	2.60
symbols	33078	17483	13	12	2.54
early	33078	17483	13	12	2.54
today	33078	17483	13	12	2.54
applications	33078	17483	31	24	2.51
First-order	33078	17483	9	9	2.49
functions	33078	17483	9	9	2.49
Honderich	33078	17483	9	9	2.49
Retrieved	33078	17483	9	9	2.49
stable	33078	17483	9	9	2.49
solution	33078	17483	9	9	2.49
modern	33078	17483	16	14	2.45
1996	33078	17483	22	18	2.43
was	33078	17483	71	48	2.38
p	33078	17483	51	36	2.37
based	33078	17483	43	31	2.32
negative	33078	17483	12	11	2.29
8	33078	17483	24	19	2.27
use	33078	17483	55	38	2.24
calculus	33078	17483	21	17	2.24
microcontroller	33078	17483	8	8	2.22
Propositional	33078	17483	8	8	2.22
states	33078	17483	8	8	2.22
2023	33078	17483	8	8	2.22
Semantics	33078	17483	8	8	2.22
Separation	33078	17483	8	8	2.22
domains	33078	17483	8	8	2.22
analyzer	33078	17483	8	8	2.22
analyzers	33078	17483	8	8	2.22
Indian	33078	17483	8	8	2.22
system	33078	17483	57	39	2.19
semantics	33078	17483	88	57	2.16
Prolog	33078	17483	23	18	2.09
