token	corpus size	all contexts size	frequency	co-frequency	specificity
lógica	64096	3307	221	108	77.05
nietzsche	64096	3307	170	75	49.59
pressupõe	64096	3307	14	14	18.03
linguagem	64096	3307	46	22	16.00
formal	64096	3307	17	12	11.78
semântica	64096	3307	21	12	10.20
sintaxe	64096	3307	27	13	9.76
afirmações	64096	3307	11	8	8.15
passagens	64096	3307	9	7	7.50
que	64096	3307	2141	167	7.48
coisas	64096	3307	186	29	7.10
fórmulas	64096	3307	10	7	7.00
sequer	64096	3307	14	8	6.96
isto	64096	3307	67	16	6.73
parece	64096	3307	38	12	6.62
bge	64096	3307	11	7	6.59
razão	64096	3307	32	11	6.54
realista	64096	3307	12	7	6.23
afirmação	64096	3307	23	9	6.00
carnap	64096	3307	23	9	6.00
racional	64096	3307	13	7	5.92
lógicos	64096	3307	24	9	5.82
metafísica	64096	3307	31	10	5.71
talvez	64096	3307	15	7	5.39
realismo	64096	3307	21	8	5.29
ficções	64096	3307	11	6	5.18
royal	64096	3307	4	4	5.15
signos	64096	3307	4	4	5.15
sign	64096	3307	4	4	5.15
lógicas	64096	3307	17	7	4.96
sobre	64096	3307	221	27	4.70
não	64096	3307	755	65	4.68
é	64096	3307	1090	86	4.53
uma	64096	3307	766	65	4.50
tempo	64096	3307	59	12	4.49
moderna	64096	3307	20	7	4.42
leis	64096	3307	27	8	4.39
crítica	64096	3307	21	7	4.27
rejeição	64096	3307	10	5	4.15
ideias	64096	3307	16	6	4.05
muitíssimo	64096	3307	3	3	3.86
fictícias	64096	3307	3	3	3.86
restrição	64096	3307	3	3	3.86
queixa	64096	3307	3	3	3.86
coisidade	64096	3307	3	3	3.86
ontológicos	64096	3307	3	3	3.86
narrativo	64096	3307	3	3	3.86
filosofia	64096	3307	79	13	3.84
arte	64096	3307	32	8	3.83
nem	64096	3307	50	10	3.79
coerência	64096	3307	18	6	3.73
há	64096	3307	129	17	3.62
entidades	64096	3307	13	5	3.51
clark	64096	3307	13	5	3.51
